题目,评委ID,TOPSIS_熵权,TOPSIS_CRITIC,TOPSIS_CV,TOPSIS_标准差,TOPSIS_PCA,TOPSIS_GRA,排名_熵权,排名_CRITIC,排名_CV,排名_标准差,排名_PCA,排名_GRA
D,专家D49,0.4625467154125095,0.5950451094123317,0.5220175191898707,0.6122514326930922,0.7062591174944207,0.6190233457609456,42,33,40,32,17,31
D,专家D50,0.5988542670729197,0.5182955629241012,0.5584312398888328,0.5116952881671323,0.45544119207422074,0.5108834378477174,22,54,30,59,62,60
D,专家D51,0.39342478305083883,0.5705246525204598,0.46774698986183866,0.5776566796746851,0.6271291654514541,0.5832967793011966,55,42,50,40,36,40
D,专家D52,0.36477687635850764,0.4498634440093741,0.40178203879055163,0.448381097526284,0.45521454241455556,0.44898629892602165,62,64,65,64,63,64
D,专家D53,0.4939558493913756,0.5844033365744756,0.5356118207441788,0.60146645085276,0.6849643513830693,0.6077057805480847,36,37,35,35,23,35
D,专家D54,0.5162151882564163,0.6545079435887234,0.5724213002540322,0.6459496893183302,0.607872981946863,0.6468367362531678,32,22,28,26,40,25
D,专家D55,0.5262883010573102,0.5708574474099705,0.545702258586351,0.5776158565273614,0.6039999071843575,0.5807902155195828,30,41,33,41,41,41
D,专家D56,0.5516856042693637,0.572883144003738,0.55586032115722,0.5610225547147941,0.48690466005777916,0.560129662063061,28,40,31,43,58,42
D,专家D57,0.6793770968930415,0.7424631348080545,0.7063377682403693,0.7474237170521378,0.7798452174072167,0.7497397334880542,12,6,9,6,3,6
D,专家D58,0.512243058969489,0.5291978076634373,0.5227138003493477,0.5393611805098159,0.5981001938181678,0.5414816659351943,33,49,39,47,43,47
D,专家D59,0.3892214833308531,0.550106133474079,0.4556532242308245,0.5360801504158632,0.4608354636839881,0.5361481301663267,57,44,52,48,61,48
D,专家D60,0.394241413245666,0.47530516555236796,0.43113700229941315,0.48887340087753,0.5477539032214369,0.4943823359023532,54,62,59,61,51,61
D,专家D61,0.7601991710078961,0.7024058172940951,0.7299776605347692,0.6859622991000628,0.6017960657738515,0.6815128739233045,3,11,6,15,42,17
D,专家D62,0.6320484415456283,0.659744365189783,0.6423163166751603,0.6591027342390496,0.6468735643223615,0.6604020378711419,16,21,17,21,31,22
D,专家D63,0.7077538779571008,0.7053029597562767,0.7084647071427926,0.7151374483083406,0.7584014852509569,0.7178935812709242,7,10,8,9,9,9
D,专家D64,0.4232778151698314,0.5643345036599186,0.48610435851052447,0.5803922893635802,0.6706938009630454,0.5869926974508961,48,43,45,39,26,39
D,专家D65,0.5518560243604008,0.6865094546510042,0.606256251840532,0.6816632003458081,0.6611096982917734,0.6836937767080926,27,13,23,17,28,16
D,专家D66,0.5742312357920701,0.6755848221803915,0.6190813001593721,0.68932459725944,0.7638283843772995,0.6948226404585193,23,17,20,13,6,12
D,专家D67,0.22429602564772336,0.262019493123509,0.23548882746647992,0.24114419631362777,0.09521219912085474,0.2371690156347793,68,68,68,68,69,68
D,专家D68,0.6382259197189453,0.6817642751982329,0.659273830239463,0.6929578849028177,0.7576195208950993,0.6962563997764385,14,15,15,11,10,11
D,专家D69,0.37048367515542946,0.4931656697569056,0.4255398167942912,0.5062054781592984,0.5788729778105901,0.5116622872846519,59,60,62,60,48,59
E,专家E01,0.4966064573836889,0.5363706770618921,0.5178644667207293,0.5446872246435972,0.5485328020894727,0.5556484904710458,28,28,28,27,27,28
E,专家E02,0.7338961059831841,0.7555931387381143,0.7434382756144211,0.7626141840846542,0.7653650017133297,0.7734438197348232,7,7,7,6,6,6
E,专家E03,0.6721867369414337,0.6823860330304915,0.6675532074369175,0.6915161037936038,0.6953432579435207,0.7050441197330992,12,12,12,11,11,11
E,专家E04,0.5899154217662017,0.6448167521067754,0.6258206277548507,0.6552832812784715,0.6589609640609171,0.6724786082594617,19,17,18,16,17,17
E,专家E05,0.4953346369856122,0.5531659991693677,0.5372641003012693,0.566711903828746,0.56951923607661,0.5931553159885243,29,25,26,25,25,24
E,专家E06,0.326403954548859,0.3929808275303849,0.3786693074573135,0.40757648072036107,0.40979920903751516,0.4379521984971038,35,35,35,35,35,35
